0,1,2,3,4
Adrian Black,No data,"['Con la magia en los zapatos', 'Rise of the Zombies', '2012', 'Christopher Columbus(as Brian Ross Huse)', 'Bar Patron']",['Reparto'],Más en IMDbPro
Dallas Roberts,1970,[''],['Reparto'],Sin Oscar
Alanna Chisholm,No data,[''],['Reparto'],Más en IMDbPro
Clare Higgins,1955,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Alfred Molina,1953,[''],"['Reparto', 'Producción', 'Dirección']",Nominado para 2 premios Primetime Emmy
Lalit Parashar,No data,"['Jab We Met', 'With Luv... Tumhaara', 'Bhoothnath', 'Ajab Prem Ki Ghazab Kahani']",['Reparto'],Sin oscar
Karin Baal,1940,[''],['Reparto'],Sin Oscar
Mariano Casas,No data,['Catalina'],['Reparto'],Sin oscar
Carlos Larrañaga,1937,[''],['Reparto'],Sin Oscar
Tiina Tauraite,No data,[''],['Reparto'],Más en IMDbPro
Zachi Noy,1953,[''],"['Reparto', 'Guion', 'Banda sonora']",Sin Oscar
Jian Cui,1961,"['Lanse gotou', 'New York, I Love You', 'The Blue Bone', 'Cui Jian']","['Reparto', 'Composición', 'Música']",Sin Oscar
Manny Perez,1969,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Chris Ratz,No data,[''],"['Reparto', 'Banda sonora']",Sin oscar
Diego Gatto,No data,"['Granada y al Paraíso', 'Hermanos y detectives', '2006 • 1 episodio', '2012', 'Reparto']",['Reparto'],Sin oscar
Katie Cassidy,1986,[''],"['Reparto', 'Dirección', 'Producción']",Sin Oscar
Seth Hall,1977,"['David & Layla', 'BeetleBorgs', '1996 • 1 episodio', '2007', 'Twin 2']","['Reparto', 'Equipos adicionales']",Sin oscar
Georgina Genes,No data,"['7 cajas', 'Hamaca paraguaya', 'King Kong en Asunción', 'El invierno de Gunter']",['Reparto'],Sin oscar
Carme Sansa,1943,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Corey Burke,No data,"['Irina Palm', 'Holby City', '2006–2008 • 2 episodios', 'Tryke Pilot', 'Película de TV']","['Reparto', 'Especialistas']",Sin oscar
Sherie Hall,No data,['Phantom Love'],['Reparto'],Sin oscar
Aaron D. Spears,1971,[''],"['Reparto', 'Producción', 'Composición']",Sin Oscar
James Fox,1939,[''],"['Reparto', 'Banda sonora']",Ganó 1 premio BAFTA
Ottavio Amato,No data,"['La mafia sólo mata en verano', '2016 • 4 episodios', 'Giorgianni', 'Reparto', 'Serie de TV']",['Reparto'],Sin oscar
Kris McQuade,1952,"['Mortal Kombat', 'Ned Kelly (Comienza la leyenda)', 'El amor está en el aire', 'Cargo']","['Reparto', 'Música', 'Banda sonora']",Sin Oscar
Daron McFarland,1972,[''],"['Reparto', 'Especialistas', 'Equipos adicionales']",Sin oscar
Janice Coffey,No data,"['Verschwinden', 'Exodus 20:13', 'Welcome Home: The Jay Randall Story', '2010', '2001']",['Reparto'],Sin oscar
Lisa McGrillis,1982,[''],['Reparto'],Sin oscar
Robert Funaro,1959,[''],"['Reparto', 'Equipos adicionales']",Sin oscar
John Abraham,1972,[''],"['Reparto', 'Producción', 'Música']",Sin Oscar
Bruce Weitz,1943,[''],"['Reparto', 'Producción', 'Sonido']",Ganó 1 premio Primetime Emmy
Jordan Kenneth Kamp,diciembre,[''],"['Reparto', 'Producción', 'Dirección']",Sin oscar
