0,1,2,3
tt0119572,Love Jones,"7,3",76
tt0119598,The Maker,"5,5",53
tt0119237,Gummo,"6,6",NO DATA
tt0119661,Merchant of Death,"4,0",33
tt0119763,Nattbuss 807,"4,8",NO DATA
tt0119297,Historias de Fútbol,"6,6",NO DATA
tt0119285,Hero No. 1,"6,3",60
tt0119262,Hazlo por mí,"5,8",NO DATA
tt0119518,Lesser Prophets,"5,4",NO DATA
tt0119733,Mei li zai chang ge,"6,9",NO DATA
tt0119284,La herida luminosa,"6,0",6
tt0119322,House of America,"6,4",91
tt0119525,Levitation,"5,6",NO DATA
tt0119475,Koi to hanabi to kanransha,"6,7",NO DATA
tt0119508,Leather Jacket Love Story,"6,2",67
tt0119615,Les marches du palais,"8,1",NO DATA
tt0119626,Martín (Hache),"7,6",92
tt0119703,Mordbüro,"4,4",NO DATA
tt0119723,Mrs Dalloway,"6,5",NO DATA
tt0119791,Nightwatch,"6,2",27
tt0119248,Hamam,"6,8",NO DATA
tt0119373,Inside/Out,"6,9",NO DATA
tt0119393,J'irai au paradis car l'enfer est ici,"6,7",NO DATA
tt0119488,L.A. Confidential,"8,2",99
tt0119557,The Locusts,"6,1",18
tt0119652,Memorias del ángel caído,"5,9",NO DATA
tt0119422,The Journey,"7,2",NO DATA
tt0119625,Marthe,"6,4",NO DATA
tt0119732,Murder in Mind,"5,2",NO DATA
tt0119822,As Good as It Gets,"7,7",NO DATA
tt0119452,Kayla,"6,2",NO DATA
tt0119586,Lucie Aubrac,"6,6",74
tt0119590,Ma vie en rose,"7,5",93
tt0119620,Marius et Jeannette,"6,9",NO DATA
tt0119657,Men with Guns,"7,6",NO DATA
tt0119383,Irish Whiskey,"6,2",NO DATA
tt0119457,Kicked in the Head,"4,4",20
tt0119619,Marion,"6,9",NO DATA
tt0119674,Les mille merveilles de l'univers,"5,1",NO DATA
tt0119935,Preaching to the Perverted,"5,8",83
tt0119209,Going All the Way,"5,7",65
tt0119418,Le jour et la nuit,"1,9",14
tt0119389,The Island on Bird Street,"7,1",74
tt0119491,Lahoo Ke Do Rang,"4,1",NO DATA
tt0119658,Mendel,"6,1",NO DATA
tt0119688,"Moi fatigué debout, moi couché","4,6",NO DATA
tt0119769,Neitoperho,"6,8",NO DATA
tt0119338,Hurricane,"6,3",NO DATA
tt0119476,Koi wa maiorita,NO DATA,NO DATA
tt0119453,Keep the Aspidistra Flying,"6,3",NO DATA
